Source File: C:\Users\Temp\Desktop\MINILOG 2017\Minilog-TD_6190_20170826_1.vld
Source Device: Minilog-TD-6190
Study Description: GP063A1
Minilog Initialized: 2017-08-26 08:28:46 (UTC-3)
Study Start Time: 2017-08-26 08:28:46
Study Stop Time: 2017-08-26 09:05:25
Sample Interval: 00:00:01
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C),Depth (m)
2017-08-26,08:39:33,4.74,22.70
2017-08-26,08:39:34,4.59,22.70
2017-08-26,08:39:35,4.44,22.70
2017-08-26,08:39:36,4.29,24.32
2017-08-26,08:39:37,4.29,24.32
2017-08-26,08:39:38,4.14,24.32
2017-08-26,08:39:39,4.14,24.32
2017-08-26,08:39:40,3.99,24.32
2017-08-26,08:39:41,3.84,24.32
2017-08-26,08:39:42,3.69,24.32
2017-08-26,08:39:43,3.54,25.94
2017-08-26,08:39:44,3.54,25.94
2017-08-26,08:39:45,3.39,25.94
2017-08-26,08:39:46,3.39,25.94
2017-08-26,08:39:47,3.39,25.94
2017-08-26,08:39:48,3.24,25.94
2017-08-26,08:39:49,3.24,27.56
2017-08-26,08:39:50,3.24,27.56
2017-08-26,08:39:51,3.09,27.56
2017-08-26,08:39:52,3.09,27.56
2017-08-26,08:39:53,3.09,27.56
2017-08-26,08:39:54,2.94,27.56
2017-08-26,08:39:55,2.94,29.18
2017-08-26,08:39:56,2.94,29.18
2017-08-26,08:39:57,2.79,29.18
2017-08-26,08:39:58,2.79,29.18
2017-08-26,08:39:59,2.79,29.18
2017-08-26,08:40:00,2.64,30.80
2017-08-26,08:40:01,2.64,30.80
2017-08-26,08:40:02,2.64,30.80
2017-08-26,08:40:03,2.49,32.42
2017-08-26,08:40:04,2.49,32.42
2017-08-26,08:40:05,2.49,32.42
2017-08-26,08:40:06,2.34,32.42
2017-08-26,08:40:07,2.34,32.42
2017-08-26,08:40:08,2.34,32.42
2017-08-26,08:40:09,2.19,34.04
2017-08-26,08:40:10,2.19,34.04
2017-08-26,08:40:11,2.19,34.04
2017-08-26,08:40:12,2.04,34.04
2017-08-26,08:40:13,2.04,34.04
2017-08-26,08:40:14,2.04,34.04
2017-08-26,08:40:15,1.89,34.04
2017-08-26,08:40:16,1.89,35.66
2017-08-26,08:40:17,1.89,35.66
2017-08-26,08:40:18,1.73,35.66
2017-08-26,08:40:19,1.73,35.66
2017-08-26,08:40:20,1.73,37.28
2017-08-26,08:40:21,1.58,37.28
2017-08-26,08:40:22,1.58,37.28
2017-08-26,08:40:23,1.58,37.28
2017-08-26,08:40:24,1.58,38.91
2017-08-26,08:40:25,1.58,38.91
2017-08-26,08:40:26,1.43,38.91
2017-08-26,08:40:27,1.43,38.91
2017-08-26,08:40:28,1.28,38.91
2017-08-26,08:40:29,1.28,38.91
2017-08-26,08:40:30,1.28,40.53
2017-08-26,08:40:31,1.12,40.53
2017-08-26,08:40:32,0.97,40.53
2017-08-26,08:40:33,0.97,40.53
2017-08-26,08:40:34,0.97,40.53
2017-08-26,08:40:35,0.82,40.53
2017-08-26,08:40:36,0.82,40.53
2017-08-26,08:40:37,0.82,42.15
2017-08-26,08:40:38,0.82,42.15
2017-08-26,08:40:39,0.82,42.15
2017-08-26,08:40:40,0.97,42.15
2017-08-26,08:40:41,0.82,42.15
2017-08-26,08:40:42,0.82,42.15
2017-08-26,08:40:43,0.82,43.77
2017-08-26,08:40:44,0.82,43.77
2017-08-26,08:40:45,0.82,43.77
2017-08-26,08:40:46,0.82,43.77
2017-08-26,08:40:47,0.82,43.77
2017-08-26,08:40:48,0.82,43.77
2017-08-26,08:40:49,0.82,45.39
2017-08-26,08:40:50,0.82,43.77
2017-08-26,08:40:51,0.82,45.39
2017-08-26,08:40:52,0.67,45.39
2017-08-26,08:40:53,0.82,45.39
2017-08-26,08:40:54,0.67,45.39
2017-08-26,08:40:55,0.67,45.39
2017-08-26,08:40:56,0.67,45.39
2017-08-26,08:40:57,0.67,47.01
2017-08-26,08:40:58,0.67,47.01
2017-08-26,08:40:59,0.67,47.01
2017-08-26,08:41:00,0.67,47.01
2017-08-26,08:41:01,0.67,47.01
2017-08-26,08:41:02,0.67,47.01
2017-08-26,08:41:03,0.67,47.01
2017-08-26,08:41:04,0.67,48.63
2017-08-26,08:41:05,0.67,48.63
2017-08-26,08:41:06,0.67,48.63
2017-08-26,08:41:07,0.67,48.63
2017-08-26,08:41:08,0.67,48.63
2017-08-26,08:41:09,0.67,48.63
2017-08-26,08:41:10,0.67,50.25
2017-08-26,08:41:11,0.67,50.25
2017-08-26,08:41:12,0.67,50.25
2017-08-26,08:41:13,0.67,50.25
2017-08-26,08:41:14,0.51,50.25
2017-08-26,08:41:15,0.51,51.87
2017-08-26,08:41:16,0.67,51.87
2017-08-26,08:41:17,0.51,51.87
2017-08-26,08:41:18,0.51,51.87
2017-08-26,08:41:19,0.51,51.87
2017-08-26,08:41:20,0.67,53.49
2017-08-26,08:41:21,0.51,53.49
2017-08-26,08:41:22,0.51,53.49
2017-08-26,08:41:23,0.51,53.49
2017-08-26,08:41:24,0.51,53.49
2017-08-26,08:41:25,0.51,53.49
2017-08-26,08:41:26,0.51,55.12
2017-08-26,08:41:27,0.51,55.12
2017-08-26,08:41:28,0.51,55.12
2017-08-26,08:41:29,0.51,55.12
2017-08-26,08:41:30,0.51,55.12
2017-08-26,08:41:31,0.51,55.12
2017-08-26,08:41:32,0.51,55.12
2017-08-26,08:41:33,0.51,55.12
2017-08-26,08:41:34,0.51,55.12
2017-08-26,08:41:35,0.51,55.12
2017-08-26,08:41:36,0.51,55.12
2017-08-26,08:41:37,0.51,56.74
2017-08-26,08:41:38,0.51,56.74
2017-08-26,08:41:39,0.51,56.74
2017-08-26,08:41:40,0.51,56.74
2017-08-26,08:41:41,0.51,56.74
2017-08-26,08:41:42,0.51,56.74
2017-08-26,08:41:43,0.51,56.74
2017-08-26,08:41:44,0.51,58.36
2017-08-26,08:41:45,0.51,58.36
2017-08-26,08:41:46,0.51,58.36
2017-08-26,08:41:47,0.36,58.36
2017-08-26,08:41:48,0.51,58.36
2017-08-26,08:41:49,0.51,58.36
2017-08-26,08:41:50,0.51,58.36
2017-08-26,08:41:51,0.51,58.36
2017-08-26,08:41:52,0.51,59.98
2017-08-26,08:41:53,0.51,59.98
2017-08-26,08:41:54,0.51,59.98
2017-08-26,08:41:55,0.51,59.98
2017-08-26,08:41:56,0.51,61.60
2017-08-26,08:41:57,0.51,61.60
2017-08-26,08:41:58,0.36,61.60
2017-08-26,08:41:59,0.51,61.60
2017-08-26,08:42:00,0.51,61.60
2017-08-26,08:42:01,0.51,61.60
2017-08-26,08:42:02,0.51,63.22
2017-08-26,08:42:03,0.36,63.22
2017-08-26,08:42:04,0.51,63.22
2017-08-26,08:42:05,0.51,64.84
2017-08-26,08:42:06,0.51,64.84
2017-08-26,08:42:07,0.51,64.84
2017-08-26,08:42:08,0.51,64.84
2017-08-26,08:42:09,0.67,64.84
2017-08-26,08:42:10,0.67,66.46
2017-08-26,08:42:11,0.67,66.46
2017-08-26,08:42:12,0.67,66.46
2017-08-26,08:42:13,0.67,66.46
2017-08-26,08:42:14,0.67,66.46
2017-08-26,08:42:15,0.67,68.08
2017-08-26,08:42:16,0.67,68.08
2017-08-26,08:42:17,0.67,68.08
2017-08-26,08:42:18,0.82,69.70
2017-08-26,08:42:19,0.67,69.70
2017-08-26,08:42:20,0.82,69.70
2017-08-26,08:42:21,0.82,69.70
2017-08-26,08:42:22,0.82,69.70
2017-08-26,08:42:23,0.82,71.33
2017-08-26,08:42:24,0.82,71.33
2017-08-26,08:42:25,0.82,71.33
2017-08-26,08:42:26,0.82,71.33
2017-08-26,08:42:27,0.82,71.33
2017-08-26,08:42:28,0.97,71.33
2017-08-26,08:42:29,0.97,72.95
2017-08-26,08:42:30,0.82,71.33
2017-08-26,08:42:31,0.82,72.95
2017-08-26,08:42:32,0.82,72.95
2017-08-26,08:42:33,0.97,72.95
2017-08-26,08:42:34,0.97,72.95
2017-08-26,08:42:35,0.97,72.95
2017-08-26,08:42:36,0.97,72.95
2017-08-26,08:42:37,0.97,72.95
2017-08-26,08:42:38,0.97,72.95
2017-08-26,08:42:39,0.97,72.95
2017-08-26,08:42:40,0.97,74.57
2017-08-26,08:42:41,0.97,72.95
2017-08-26,08:42:42,0.97,74.57
2017-08-26,08:42:43,0.97,74.57
2017-08-26,08:42:44,0.97,74.57
2017-08-26,08:42:45,0.97,74.57
2017-08-26,08:42:46,0.97,74.57
2017-08-26,08:42:47,0.97,74.57
2017-08-26,08:42:48,0.97,74.57
2017-08-26,08:42:49,0.82,74.57
2017-08-26,08:42:50,0.97,74.57
2017-08-26,08:42:51,0.97,74.57
2017-08-26,08:42:52,0.97,74.57
2017-08-26,08:42:53,0.97,74.57
2017-08-26,08:42:54,0.97,74.57
2017-08-26,08:42:55,0.97,74.57
2017-08-26,08:42:56,0.97,74.57
2017-08-26,08:42:57,0.97,74.57
2017-08-26,08:42:58,0.97,74.57
2017-08-26,08:42:59,0.97,74.57
2017-08-26,08:43:00,0.97,74.57
2017-08-26,08:43:01,0.97,74.57
2017-08-26,08:43:02,0.97,74.57
2017-08-26,08:43:03,0.97,74.57
2017-08-26,08:43:04,0.97,74.57
2017-08-26,08:43:05,0.97,74.57
2017-08-26,08:43:06,0.82,74.57
2017-08-26,08:43:07,0.97,74.57
2017-08-26,08:43:08,0.82,74.57
2017-08-26,08:43:09,0.82,74.57
2017-08-26,08:43:10,0.97,74.57
2017-08-26,08:43:11,0.82,74.57
2017-08-26,08:43:12,0.97,74.57
2017-08-26,08:43:13,0.97,74.57
2017-08-26,08:43:14,0.97,74.57
2017-08-26,08:43:15,0.97,74.57
2017-08-26,08:43:16,0.97,74.57
2017-08-26,08:43:17,0.82,74.57
2017-08-26,08:43:18,0.97,74.57
2017-08-26,08:43:19,0.97,74.57
2017-08-26,08:43:20,0.82,74.57
2017-08-26,08:43:21,0.82,74.57
2017-08-26,08:43:22,0.82,74.57
2017-08-26,08:43:23,0.82,74.57
2017-08-26,08:43:24,0.82,74.57
2017-08-26,08:43:25,0.82,74.57
2017-08-26,08:43:26,0.97,74.57
2017-08-26,08:43:27,0.97,74.57
2017-08-26,08:43:28,0.97,74.57
2017-08-26,08:43:29,0.97,74.57
2017-08-26,08:43:30,0.82,74.57
2017-08-26,08:43:31,0.82,74.57
2017-08-26,08:43:32,0.97,74.57
2017-08-26,08:43:33,0.82,74.57
2017-08-26,08:43:34,0.97,74.57
2017-08-26,08:43:35,0.97,74.57
2017-08-26,08:43:36,0.82,74.57
2017-08-26,08:43:37,0.82,74.57
2017-08-26,08:43:38,0.82,74.57
2017-08-26,08:43:39,0.82,74.57
2017-08-26,08:43:40,0.82,74.57
2017-08-26,08:43:41,0.97,74.57
2017-08-26,08:43:42,0.97,74.57
2017-08-26,08:43:43,0.82,74.57
2017-08-26,08:43:44,0.82,74.57
2017-08-26,08:43:45,0.82,74.57
2017-08-26,08:43:46,0.82,74.57
2017-08-26,08:43:47,0.82,74.57
2017-08-26,08:43:48,0.82,74.57
2017-08-26,08:43:49,0.97,74.57
2017-08-26,08:43:50,0.82,74.57
2017-08-26,08:43:51,0.82,74.57
2017-08-26,08:43:52,0.97,74.57
2017-08-26,08:43:53,0.97,74.57
2017-08-26,08:43:54,0.97,74.57
2017-08-26,08:43:55,0.82,74.57
2017-08-26,08:43:56,0.82,74.57
2017-08-26,08:43:57,0.82,74.57
2017-08-26,08:43:58,0.82,74.57
2017-08-26,08:43:59,0.97,74.57
2017-08-26,08:44:00,0.82,74.57
2017-08-26,08:44:01,0.97,74.57
2017-08-26,08:44:02,0.82,74.57
2017-08-26,08:44:03,0.82,74.57
2017-08-26,08:44:04,0.82,74.57
2017-08-26,08:44:05,0.82,74.57
2017-08-26,08:44:06,0.82,74.57
2017-08-26,08:44:07,0.82,74.57
2017-08-26,08:44:08,0.82,74.57
2017-08-26,08:44:09,0.82,74.57
2017-08-26,08:44:10,0.82,74.57
2017-08-26,08:44:11,0.82,74.57
2017-08-26,08:44:12,0.82,74.57
2017-08-26,08:44:13,0.82,74.57
2017-08-26,08:44:14,0.82,74.57
2017-08-26,08:44:15,0.82,74.57
2017-08-26,08:44:16,0.82,74.57
2017-08-26,08:44:17,0.97,74.57
2017-08-26,08:44:18,0.82,74.57
2017-08-26,08:44:19,0.82,74.57
2017-08-26,08:44:20,0.82,74.57
2017-08-26,08:44:21,0.82,74.57
2017-08-26,08:44:22,0.82,74.57
2017-08-26,08:44:23,0.82,74.57
2017-08-26,08:44:24,0.82,74.57
2017-08-26,08:44:25,0.82,74.57
2017-08-26,08:44:26,0.82,74.57
2017-08-26,08:44:27,0.82,74.57
2017-08-26,08:44:28,0.82,74.57
2017-08-26,08:44:29,0.82,74.57
2017-08-26,08:44:30,0.82,74.57
2017-08-26,08:44:31,0.82,74.57
2017-08-26,08:44:32,0.82,74.57
2017-08-26,08:44:33,0.82,74.57
2017-08-26,08:44:34,0.82,74.57
2017-08-26,08:44:35,0.82,74.57
2017-08-26,08:44:36,0.82,74.57
2017-08-26,08:44:37,0.82,74.57
2017-08-26,08:44:38,0.82,74.57
2017-08-26,08:44:39,0.82,74.57
2017-08-26,08:44:40,0.82,74.57
2017-08-26,08:44:41,0.82,74.57
2017-08-26,08:44:42,0.82,74.57
2017-08-26,08:44:43,0.82,74.57
2017-08-26,08:44:44,0.82,74.57
2017-08-26,08:44:45,0.82,74.57
2017-08-26,08:44:46,0.82,74.57
2017-08-26,08:44:47,0.82,74.57
2017-08-26,08:44:48,0.82,74.57
2017-08-26,08:44:49,0.82,74.57
2017-08-26,08:44:50,0.82,74.57
2017-08-26,08:44:51,0.82,74.57
2017-08-26,08:44:52,0.82,74.57
2017-08-26,08:44:53,0.82,74.57
2017-08-26,08:44:54,0.82,74.57
2017-08-26,08:44:55,0.82,74.57
2017-08-26,08:44:56,0.82,74.57
2017-08-26,08:44:57,0.82,74.57
2017-08-26,08:44:58,0.82,74.57
2017-08-26,08:44:59,0.82,74.57
2017-08-26,08:45:00,0.82,74.57
2017-08-26,08:45:01,0.82,74.57
2017-08-26,08:45:02,0.82,74.57
2017-08-26,08:45:03,0.82,74.57
2017-08-26,08:45:04,0.82,74.57
2017-08-26,08:45:05,0.82,74.57
2017-08-26,08:45:06,0.82,74.57
2017-08-26,08:45:07,0.82,74.57
2017-08-26,08:45:08,0.82,74.57
2017-08-26,08:45:09,0.82,74.57
2017-08-26,08:45:10,0.82,74.57
2017-08-26,08:45:11,0.82,74.57
2017-08-26,08:45:12,0.82,74.57
2017-08-26,08:45:13,0.82,74.57
2017-08-26,08:45:14,0.82,74.57
2017-08-26,08:45:15,0.82,74.57
2017-08-26,08:45:16,0.82,74.57
2017-08-26,08:45:17,0.82,74.57
2017-08-26,08:45:18,0.82,74.57
2017-08-26,08:45:19,0.82,74.57
2017-08-26,08:45:20,0.82,74.57
2017-08-26,08:45:21,0.82,74.57
2017-08-26,08:45:22,0.82,76.19
2017-08-26,08:45:23,0.82,74.57
2017-08-26,08:45:24,0.82,74.57
2017-08-26,08:45:25,0.82,74.57
2017-08-26,08:45:26,0.82,74.57
2017-08-26,08:45:27,0.82,76.19
2017-08-26,08:45:28,0.82,74.57
2017-08-26,08:45:29,0.82,74.57
2017-08-26,08:45:30,0.82,74.57
2017-08-26,08:45:31,0.82,74.57
2017-08-26,08:45:32,0.82,74.57
2017-08-26,08:45:33,0.82,74.57
2017-08-26,08:45:34,0.82,74.57
2017-08-26,08:45:35,0.82,74.57
2017-08-26,08:45:36,0.82,74.57
2017-08-26,08:45:37,0.82,74.57
2017-08-26,08:45:38,0.82,74.57
2017-08-26,08:45:39,0.82,74.57
2017-08-26,08:45:40,0.82,74.57
2017-08-26,08:45:41,0.82,74.57
2017-08-26,08:45:42,0.82,74.57
2017-08-26,08:45:43,0.82,74.57
2017-08-26,08:45:44,0.82,74.57
2017-08-26,08:45:45,0.82,74.57
2017-08-26,08:45:46,0.82,74.57
2017-08-26,08:45:47,0.82,74.57
2017-08-26,08:45:48,0.82,74.57
2017-08-26,08:45:49,0.82,74.57
2017-08-26,08:45:50,0.82,74.57
2017-08-26,08:45:51,0.82,74.57
2017-08-26,08:45:52,0.82,74.57
2017-08-26,08:45:53,0.82,74.57
2017-08-26,08:45:54,0.82,74.57
2017-08-26,08:45:55,0.82,74.57
2017-08-26,08:45:56,0.82,74.57
2017-08-26,08:45:57,0.82,74.57
2017-08-26,08:45:58,0.82,74.57
2017-08-26,08:45:59,0.82,74.57
2017-08-26,08:46:00,0.82,74.57
2017-08-26,08:46:01,0.82,74.57
2017-08-26,08:46:02,0.82,74.57
2017-08-26,08:46:03,0.82,76.19
2017-08-26,08:46:04,0.82,74.57
2017-08-26,08:46:05,0.82,74.57
2017-08-26,08:46:06,0.82,76.19
2017-08-26,08:46:07,0.82,74.57
2017-08-26,08:46:08,0.82,74.57
2017-08-26,08:46:09,0.82,74.57
2017-08-26,08:46:10,0.82,74.57
2017-08-26,08:46:11,0.82,74.57
2017-08-26,08:46:12,0.82,74.57
2017-08-26,08:46:13,0.82,74.57
2017-08-26,08:46:14,0.82,74.57
2017-08-26,08:46:15,0.82,74.57
2017-08-26,08:46:16,0.82,76.19
2017-08-26,08:46:17,0.82,74.57
2017-08-26,08:46:18,0.82,76.19
2017-08-26,08:46:19,0.82,74.57
2017-08-26,08:46:20,0.82,76.19
2017-08-26,08:46:21,0.82,74.57
2017-08-26,08:46:22,0.82,74.57
2017-08-26,08:46:23,0.82,74.57
2017-08-26,08:46:24,0.82,74.57
2017-08-26,08:46:25,0.82,74.57
2017-08-26,08:46:26,0.82,76.19
2017-08-26,08:46:27,0.82,76.19
2017-08-26,08:46:28,0.82,74.57
2017-08-26,08:46:29,0.82,74.57
2017-08-26,08:46:30,0.82,74.57
2017-08-26,08:46:31,0.82,74.57
2017-08-26,08:46:32,0.82,76.19
2017-08-26,08:46:33,0.82,76.19
2017-08-26,08:46:34,0.82,74.57
2017-08-26,08:46:35,0.82,74.57
2017-08-26,08:46:36,0.82,76.19
2017-08-26,08:46:37,0.82,74.57
2017-08-26,08:46:38,0.82,76.19
2017-08-26,08:46:39,0.82,76.19
2017-08-26,08:46:40,0.82,74.57
2017-08-26,08:46:41,0.82,74.57
2017-08-26,08:46:42,0.82,74.57
2017-08-26,08:46:43,0.82,74.57
2017-08-26,08:46:44,0.82,74.57
2017-08-26,08:46:45,0.82,74.57
2017-08-26,08:46:46,0.82,76.19
2017-08-26,08:46:47,0.82,76.19
2017-08-26,08:46:48,0.82,74.57
2017-08-26,08:46:49,0.82,74.57
2017-08-26,08:46:50,0.82,74.57
2017-08-26,08:46:51,0.82,74.57
2017-08-26,08:46:52,0.82,74.57
2017-08-26,08:46:53,0.82,74.57
2017-08-26,08:46:54,0.82,76.19
2017-08-26,08:46:55,0.82,74.57
2017-08-26,08:46:56,0.82,74.57
2017-08-26,08:46:57,0.82,74.57
2017-08-26,08:46:58,0.82,74.57
2017-08-26,08:46:59,0.82,74.57
2017-08-26,08:47:00,0.82,74.57
2017-08-26,08:47:01,0.82,74.57
2017-08-26,08:47:02,0.82,76.19
2017-08-26,08:47:03,0.82,74.57
2017-08-26,08:47:04,0.82,74.57
2017-08-26,08:47:05,0.82,74.57
2017-08-26,08:47:06,0.82,76.19
2017-08-26,08:47:07,0.82,76.19
2017-08-26,08:47:08,0.82,76.19
2017-08-26,08:47:09,0.82,74.57
2017-08-26,08:47:10,0.82,74.57
2017-08-26,08:47:11,0.82,74.57
2017-08-26,08:47:12,0.82,76.19
2017-08-26,08:47:13,0.82,74.57
2017-08-26,08:47:14,0.82,74.57
2017-08-26,08:47:15,0.82,74.57
2017-08-26,08:47:16,0.82,74.57
2017-08-26,08:47:17,0.82,76.19
2017-08-26,08:47:18,0.82,74.57
2017-08-26,08:47:19,0.82,76.19
2017-08-26,08:47:20,0.82,74.57
2017-08-26,08:47:21,0.82,76.19
2017-08-26,08:47:22,0.82,74.57
2017-08-26,08:47:23,0.82,74.57
2017-08-26,08:47:24,0.82,76.19
2017-08-26,08:47:25,0.82,76.19
2017-08-26,08:47:26,0.82,76.19
2017-08-26,08:47:27,0.82,76.19
2017-08-26,08:47:28,0.82,76.19
2017-08-26,08:47:29,0.82,74.57
2017-08-26,08:47:30,0.82,74.57
2017-08-26,08:47:31,0.82,76.19
2017-08-26,08:47:32,0.82,74.57
2017-08-26,08:47:33,0.82,76.19
2017-08-26,08:47:34,0.82,74.57
2017-08-26,08:47:35,0.82,74.57
2017-08-26,08:47:36,0.82,74.57
2017-08-26,08:47:37,0.82,76.19
2017-08-26,08:47:38,0.82,74.57
2017-08-26,08:47:39,0.82,76.19
2017-08-26,08:47:40,0.82,76.19
2017-08-26,08:47:41,0.82,74.57
2017-08-26,08:47:42,0.82,76.19
2017-08-26,08:47:43,0.82,74.57
2017-08-26,08:47:44,0.82,76.19
2017-08-26,08:47:45,0.82,76.19
2017-08-26,08:47:46,0.82,74.57
2017-08-26,08:47:47,0.82,76.19
2017-08-26,08:47:48,0.82,76.19
2017-08-26,08:47:49,0.82,76.19
2017-08-26,08:47:50,0.82,76.19
2017-08-26,08:47:51,0.82,76.19
2017-08-26,08:47:52,0.82,74.57
2017-08-26,08:47:53,0.82,76.19
2017-08-26,08:47:54,0.82,76.19
2017-08-26,08:47:55,0.82,76.19
2017-08-26,08:47:56,0.82,76.19
2017-08-26,08:47:57,0.82,76.19
2017-08-26,08:47:58,0.82,76.19
2017-08-26,08:47:59,0.82,76.19
2017-08-26,08:48:00,0.82,76.19
2017-08-26,08:48:01,0.82,76.19
2017-08-26,08:48:02,0.82,76.19
2017-08-26,08:48:03,0.82,74.57
2017-08-26,08:48:04,0.82,76.19
2017-08-26,08:48:05,0.82,74.57
2017-08-26,08:48:06,0.82,74.57
2017-08-26,08:48:07,0.82,76.19
2017-08-26,08:48:08,0.82,74.57
2017-08-26,08:48:09,0.82,74.57
2017-08-26,08:48:10,0.82,74.57
2017-08-26,08:48:11,0.82,74.57
2017-08-26,08:48:12,0.82,74.57
2017-08-26,08:48:13,0.82,74.57
2017-08-26,08:48:14,0.82,74.57
2017-08-26,08:48:15,0.82,74.57
2017-08-26,08:48:16,0.82,74.57
2017-08-26,08:48:17,0.82,74.57
2017-08-26,08:48:18,0.82,74.57
2017-08-26,08:48:19,0.82,74.57
2017-08-26,08:48:20,0.82,74.57
2017-08-26,08:48:21,0.82,74.57
2017-08-26,08:48:22,0.82,74.57
2017-08-26,08:48:23,0.82,74.57
2017-08-26,08:48:24,0.82,74.57
2017-08-26,08:48:25,0.82,74.57
2017-08-26,08:48:26,0.82,74.57
2017-08-26,08:48:27,0.82,74.57
2017-08-26,08:48:28,0.82,74.57
2017-08-26,08:48:29,0.82,74.57
2017-08-26,08:48:30,0.82,74.57
2017-08-26,08:48:31,0.67,74.57
2017-08-26,08:48:32,0.82,74.57
2017-08-26,08:48:33,0.82,74.57
2017-08-26,08:48:34,0.82,74.57
2017-08-26,08:48:35,0.82,74.57
2017-08-26,08:48:36,0.82,74.57
2017-08-26,08:48:37,0.82,74.57
2017-08-26,08:48:38,0.67,74.57
2017-08-26,08:48:39,0.82,74.57
2017-08-26,08:48:40,0.82,74.57
2017-08-26,08:48:41,0.82,74.57
2017-08-26,08:48:42,0.82,74.57
2017-08-26,08:48:43,0.82,74.57
2017-08-26,08:48:44,0.82,74.57
2017-08-26,08:48:45,0.82,74.57
2017-08-26,08:48:46,0.82,74.57
2017-08-26,08:48:47,0.82,74.57
2017-08-26,08:48:48,0.82,74.57
2017-08-26,08:48:49,0.82,74.57
2017-08-26,08:48:50,0.82,74.57
2017-08-26,08:48:51,0.82,74.57
2017-08-26,08:48:52,0.82,74.57
2017-08-26,08:48:53,0.82,74.57
2017-08-26,08:48:54,0.82,74.57
2017-08-26,08:48:55,0.82,74.57
2017-08-26,08:48:56,0.82,74.57
2017-08-26,08:48:57,0.82,74.57
2017-08-26,08:48:58,0.82,74.57
2017-08-26,08:48:59,0.82,74.57
2017-08-26,08:49:00,0.82,74.57
2017-08-26,08:49:01,0.82,74.57
2017-08-26,08:49:02,0.82,74.57
2017-08-26,08:49:03,0.82,74.57
2017-08-26,08:49:04,0.82,74.57
2017-08-26,08:49:05,0.82,74.57
2017-08-26,08:49:06,0.82,74.57
2017-08-26,08:49:07,0.67,72.95
2017-08-26,08:49:08,0.82,72.95
2017-08-26,08:49:09,0.82,72.95
2017-08-26,08:49:10,0.82,72.95
2017-08-26,08:49:11,0.82,74.57
2017-08-26,08:49:12,0.82,72.95
2017-08-26,08:49:13,0.82,72.95
2017-08-26,08:49:14,0.82,72.95
2017-08-26,08:49:15,0.82,72.95
2017-08-26,08:49:16,0.82,72.95
2017-08-26,08:49:17,0.82,72.95
2017-08-26,08:49:18,0.82,72.95
2017-08-26,08:49:19,0.82,72.95
2017-08-26,08:49:20,0.82,72.95
2017-08-26,08:49:21,0.82,72.95
2017-08-26,08:49:22,0.82,72.95
2017-08-26,08:49:23,0.82,72.95
2017-08-26,08:49:24,0.82,71.33
2017-08-26,08:49:25,0.67,72.95
2017-08-26,08:49:26,0.82,71.33
2017-08-26,08:49:27,0.67,71.33
2017-08-26,08:49:28,0.82,71.33
2017-08-26,08:49:29,0.82,71.33
2017-08-26,08:49:30,0.82,71.33
2017-08-26,08:49:31,0.82,71.33
2017-08-26,08:49:32,0.82,71.33
2017-08-26,08:49:33,0.82,69.70
2017-08-26,08:49:34,0.82,69.70
2017-08-26,08:49:35,0.82,69.70
2017-08-26,08:49:36,0.67,69.70
2017-08-26,08:49:37,0.67,69.70
2017-08-26,08:49:38,0.67,69.70
2017-08-26,08:49:39,0.67,69.70
2017-08-26,08:49:40,0.67,69.70
2017-08-26,08:49:41,0.67,69.70
2017-08-26,08:49:42,0.67,68.08
2017-08-26,08:49:43,0.67,68.08
2017-08-26,08:49:44,0.67,68.08
2017-08-26,08:49:45,0.67,68.08
2017-08-26,08:49:46,0.67,68.08
2017-08-26,08:49:47,0.67,68.08
2017-08-26,08:49:48,0.67,66.46
2017-08-26,08:49:49,0.67,66.46
2017-08-26,08:49:50,0.67,66.46
2017-08-26,08:49:51,0.67,66.46
2017-08-26,08:49:52,0.51,66.46
2017-08-26,08:49:53,0.51,64.84
2017-08-26,08:49:54,0.51,64.84
2017-08-26,08:49:55,0.51,64.84
2017-08-26,08:49:56,0.51,64.84
2017-08-26,08:49:57,0.51,64.84
2017-08-26,08:49:58,0.36,63.22
2017-08-26,08:49:59,0.36,63.22
2017-08-26,08:50:00,0.36,63.22
2017-08-26,08:50:01,0.36,63.22
2017-08-26,08:50:02,0.36,61.60
2017-08-26,08:50:03,0.36,61.60
2017-08-26,08:50:04,0.36,61.60
2017-08-26,08:50:05,0.36,61.60
2017-08-26,08:50:06,0.20,61.60
2017-08-26,08:50:07,0.20,61.60
2017-08-26,08:50:08,0.20,59.98
2017-08-26,08:50:09,0.20,59.98
2017-08-26,08:50:10,0.20,59.98
2017-08-26,08:50:11,0.05,59.98
2017-08-26,08:50:12,0.20,58.36
2017-08-26,08:50:13,0.05,58.36
2017-08-26,08:50:14,0.20,58.36
2017-08-26,08:50:15,0.20,58.36
2017-08-26,08:50:16,0.05,58.36
2017-08-26,08:50:17,0.20,56.74
2017-08-26,08:50:18,0.20,56.74
2017-08-26,08:50:19,0.20,55.12
2017-08-26,08:50:20,0.05,55.12
2017-08-26,08:50:21,0.05,55.12
2017-08-26,08:50:22,0.05,55.12
2017-08-26,08:50:23,0.20,55.12
2017-08-26,08:50:24,0.05,53.49
2017-08-26,08:50:25,0.05,53.49
2017-08-26,08:50:26,0.05,53.49
2017-08-26,08:50:27,0.05,51.87
2017-08-26,08:50:28,0.05,51.87
